Symbol,Name,Sector,Industry
DPG,Duff & Phelps Utility and Infrastructure Fund Inc.,Finance,Trusts Except Educational Religious and Charitable
DPRO,Draganfly Inc. Common Shares,Industrials,Aerospace
DPZ,Domino's Pizza Inc Common Stock,Consumer Discretionary,Food Distributors
DQ,DAQO New Energy Corp. American Depositary Shares each representing five ordinary shares,Technology,Semiconductors
DRCT,Direct Digital Holdings Inc. Class A Common Stock,Consumer Discretionary,Advertising
DRD,DRDGOLD Limited American Depositary Shares,Basic Materials,Precious Metals
DRDB,Roman DBDR Acquisition Corp. II Ordinary shares,,
DRH,Diamondrock Hospitality Company Common Stock,Real Estate,Real Estate Investment Trusts
DRH^A,Diamondrock Hospitality Company 8.250% Series A Cumulative Redeemable Preferred Stock,,
DRI,Darden Restaurants Inc. Common Stock,Consumer Discretionary,Restaurants
DRIO,DarioHealth Corp. Common Stock,Health Care,Medical/Dental Instruments
DRMA,Dermata Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
DRMAW,Dermata Therapeutics Inc. Warrant,Health Care,Biotechnology: Pharmaceutical Preparations
DRRX,DURECT Corporation Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
DRS,Leonardo DRS Inc. Common Stock,Industrials,Industrial Machinery/Components
DRTS,Alpha Tau Medical Ltd. Ordinary Shares,Health Care,Medical/Dental Instruments
DRTSW,Alpha Tau Medical Ltd. Warrant,Health Care,Medical/Dental Instruments
DRUG,Bright Minds Biosciences Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
DRVN,Driven Brands Holdings Inc. Common Stock,Consumer Discretionary,Automotive Aftermarket
DSGN,Design Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
DSGR,Distribution Solutions Group Inc. Common Stock,Consumer Discretionary,Industrial Specialties
DSGX,Descartes Systems Group Inc. (The) Common Stock,Technology,Computer Software: Prepackaged Software
DSL,DoubleLine Income Solutions Fund Common Shares of Beneficial Interests,Finance,Trusts Except Educational Religious and Charitable
DSM,BNY Mellon Strategic Municipal Bond Fund Inc. Common Stock,Finance,Investment Managers
DSP,Viant Technology Inc. Class A Common Stock,Technology,Computer Software: Programming Data Processing
DSS,DSS Inc. Common Stock,Consumer Discretionary,Containers/Packaging
DSU,Blackrock Debt Strategies Fund Inc. Common Stock,Finance,Finance Companies
DSWL,Deswell Industries Inc. Common Shares,Industrials,Plastic Products
DSX,Diana Shipping inc. common stock,Consumer Discretionary,Marine Transportation
DSX^B,Diana Shipping Inc. Perpetual Preferred Shares Series B (Marshall Islands),,
DSY,Big Tree Cloud Holdings Limited Ordinary Shares,Consumer Discretionary,Containers/Packaging
DSYWW,Big Tree Cloud Holdings Limited Warrants,Consumer Discretionary,Containers/Packaging
DT,Dynatrace Inc. Common Stock,Technology,Computer Software: Prepackaged Software
DTB,DTE Energy Company 2020 Series G 4.375% Junior Subordinated Debentures due 2080,Utilities,Electric Utilities: Central
DTCK,Davis Commodities Limited Class A Ordinary Shares,Industrials,Farming/Seeds/Milling
DTE,DTE Energy Company Common Stock,Utilities,Electric Utilities: Central
DTF,DTF Tax-Free Income 2028 Term Fund Inc. Common Stock,Finance,Investment Managers
DTG,DTE Energy Company 2021 Series E 4.375% Junior Subordinated Debentures,Utilities,Electric Utilities: Central
DTI,Drilling Tools International Corporation Common Stock,Consumer Discretionary,Oil and Gas Field Machinery
DTIL,Precision BioSciences Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DTM,DT Midstream Inc. Common Stock ,Utilities,Natural Gas Distribution
DTSQ,DT Cloud Star Acquisition Corporation Ordinary Shares,,
DTSQR,DT Cloud Star Acquisition Corporation Right,,
DTSS,Datasea Inc. Common Stock,Technology,Computer Software: Prepackaged Software
DTST,Data Storage Corporation Common Stock,Technology,EDP Services
DTSTW,Data Storage Corporation Warrant,Technology,EDP Services
DTW,DTE Energy Company 2017 Series E 5.25% Junior Subordinated Debentures due 2077,Utilities,Electric Utilities: Central
DUK,Duke Energy Corporation (Holding Company) Common Stock,Utilities,Power Generation
DUK^A,Duke Energy Corporation Depositary Shares each representing a 1/1000th interest in a share of 5.75% Series A Cumulative Redeemable Perpetual Preferred Stock,,
DUKB,Duke Energy Corporation 5.625% Junior Subordinated Debentures due 2078,Utilities,Power Generation
DUO,Fangdd Network Group Ltd. Class A Ordinary Shares,Finance,Real Estate
DUOL,Duolingo Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
DUOT,Duos Technologies Group Inc. Common Stock,Technology,Computer Software: Prepackaged Software
DV,DoubleVerify Holdings Inc. Common Stock,Technology,Computer Software: Programming Data Processing
DVA,DaVita Inc. Common Stock,Health Care,Misc Health and Biotechnology Services
DVAX,Dynavax Technologies Corporation Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
DVLT,Datavault AI Inc. Common Stock,Technology,Semiconductors
DVN,Devon Energy Corporation Common Stock,Energy,Oil & Gas Production
DVS,Dolly Varden Silver Corporation Common Shares,,
DWSN,Dawson Geophysical Company Common Stock,Energy,Oil & Gas Production
DWTX,Dogwood Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
DX,Dynex Capital Inc. Common Stock,Real Estate,Real Estate Investment Trusts
DX^C,Dynex Capital Inc. 6.900% Series C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,,
DXC,DXC Technology Company Common Stock ,Technology,EDP Services
DXCM,DexCom Inc. Common Stock,Health Care,Medical/Dental Instruments
DXF,Eason Technology Limited American Depositary Shares (each representing sixty-thousand (60000) Ordinary Shares),Finance,Finance: Consumer Services
DXLG,Destination XL Group Inc. Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores
DXPE,DXP Enterprises Inc. Common Stock,Industrials,Industrial Machinery/Components
DXR,Daxor Corporation Common Stock,Health Care,Medical/Dental Instruments
DXST,Decent Holding Inc Class A Ordinary Shares,Industrials,Miscellaneous
DXYZ,Destiny Tech100 Inc. Common Stock,,
DY,Dycom Industries Inc. Common Stock,Industrials,Water Sewer Pipeline Comm & Power Line Construction
DYAI,Dyadic International Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DYCQ,DT Cloud Acquisition Corporation Ordinary Shares,,
DYCQR,DT Cloud Acquisition Corporation Right,,
DYN,Dyne Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
DYNX,Dynamix Corporation Class A Ordinary Shares,,
DYNXU,Dynamix Corporation Unit,,
DYNXW,Dynamix Corporation Warrant,,
E,ENI S.p.A. Common Stock,Energy,Oil & Gas Production
EA,Electronic Arts Inc. Common Stock,Consumer Discretionary,Services-Misc. Amusement & Recreation
EAD,Allspring Income Opportunities Fund Common Shares,Finance,Finance/Investors Services
EAF,GrafTech International Ltd. Common Stock,Energy,Industrial Machinery/Components
EAI,Entergy Arkansas LLC First Mortgage Bonds 4.875% Series Due September 1 2066,Utilities,Electric Utilities: Central
EARN,Ellington Credit Company Common Shares of Beneficial Interest,Real Estate,Real Estate Investment Trusts
EAT,Brinker International Inc. Common Stock,Consumer Discretionary,Restaurants
EB,Eventbrite Inc. Class A Common Stock,Technology,Computer Software: Programming Data Processing
EBAY,eBay Inc. Common Stock,Real Estate,Real Estate
EBC,Eastern Bankshares Inc. Common Stock,Finance,Savings Institutions
EBF,Ennis Inc. Common Stock,Consumer Discretionary,Office Equipment/Supplies/Services
EBMT,Eagle Bancorp Montana Inc. Common Stock,Finance,Major Banks
EBON,Ebang International Holdings Inc. Class A Ordinary Shares,Technology,Semiconductors
EBR,Centrais Electricas Brasileiras S A American Depositary Shares (Each representing one Common Share),Utilities,Electric Utilities: Central
EBS,Emergent BioSolutions Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
EC,Ecopetrol S.A. American Depositary Shares,Energy,Oil & Gas Production
ECAT,BlackRock ESG Capital Allocation Term Trust Common Shares of Beneficial Interest,Finance,Trusts Except Educational Religious and Charitable
ECBK,ECB Bancorp Inc. Common Stock,Finance,Banks
ECC           ,Eagle Point Credit Company Inc. Common Stock,Finance,Trusts Except Educational Religious and Charitable
ECC^D,Eagle Point Credit Company Inc. 6.75% Series D Preferred Stock,,
ECCC,Eagle Point Credit Company Inc. 6.50% Series C Term Preferred Stock due 2031,Finance,Trusts Except Educational Religious and Charitable
ECCF,Eagle Point Credit Company Inc. 8.00% Series F Term Preferred Stock due 2029,,
ECCU,Eagle Point Credit Company Inc. 7.75% Notes due 2030,,
ECCV,Eagle Point Credit Company Inc. 5.375% Notes due 2029,Finance,Trusts Except Educational Religious and Charitable
ECCW,Eagle Point Credit Company Inc. 6.75% Notes due 2031,Finance,Trusts Except Educational Religious and Charitable
ECCX,Eagle Point Credit Company Inc. 6.6875% Notes due 2028,Finance,Trusts Except Educational Religious and Charitable
ECDA,ECD Automotive Design Inc. Common Stock,Industrials,Auto Manufacturing
ECF,Ellsworth Growth and Income Fund Ltd.,Finance,Finance/Investors Services
ECF^A,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),,
ECG,Everus Construction Group Inc. Common Stock,Consumer Discretionary,Homebuilding
ECL,Ecolab Inc. Common Stock,Consumer Discretionary,Package Goods/Cosmetics
ECO,Okeanis Eco Tankers Corp. Common Stock,Consumer Discretionary,Marine Transportation
ECOR,electroCore Inc. Common Stock,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
ECPG,Encore Capital Group Inc Common Stock,Finance,Finance Companies
ECVT,Ecovyst Inc. Common Stock,Industrials,Major Chemicals
ECX,ECARX Holdings Inc. Class A Ordinary shares,Technology,EDP Services
ECXWW,ECARX Holdings Inc. Warrants,Technology,EDP Services
ED,Consolidated Edison Inc. Common Stock,Utilities,Power Generation
EDAP,EDAP TMS S.A. American Depositary Shares,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EDBL,Edible Garden AG Incorporated Common Stock,Consumer Staples,Farming/Seeds/Milling
EDBLW,Edible Garden AG Incorporated Warrant,Consumer Staples,Farming/Seeds/Milling
EDD,Morgan Stanley Emerging Markets Domestic Debt Fund Inc. Common Stock,Finance,Finance Companies
EDF,Virtus Stone Harbor Emerging Markets Income Fund Common Shares of Beneficial Interest,Finance,Investment Managers
EDHL,Everbright Digital Holding Limited Ordinary Shares,Consumer Discretionary,Advertising
EDIT,Editas Medicine Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EDN,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) American Depositary Shares,Utilities,Electric Utilities: Central
EDRY,EuroDry Ltd. Common Shares ,Consumer Discretionary,Marine Transportation
EDSA,Edesa Biotech Inc. Common Shares,Health Care,Biotechnology: Pharmaceutical Preparations
EDTK,Skillful Craftsman Education Technology Limited Ordinary Share,Real Estate,Other Consumer Services
EDU,New Oriental Education & Technology Group Inc. Sponsored ADR representing 10 Ordinary Share (Cayman Islands),Real Estate,Other Consumer Services
EDUC,Educational Development Corporation Common Stock,Consumer Discretionary,Consumer Specialties
EE,Excelerate Energy Inc. Class A Common Stock,Utilities,Oil/Gas Transmission
EEA,The European Equity Fund Inc. Common Stock,Finance,Trusts Except Educational Religious and Charitable
EEFT,Euronet Worldwide Inc. Common Stock,Finance,Investment Bankers/Brokers/Service
EEIQ,EpicQuest Education Group International Limited Common Stock,Real Estate,Other Consumer Services
EEX,Emerald Holding Inc. Common Stock,Real Estate,Real Estate
EFC,Ellington Financial Inc. Common Stock ,Finance,Real Estate
EFC^A,Ellington Financial Inc. 6.750% Series A Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,,
EFC^B,Ellington Financial Inc. 6.250% Series B Fixed-Rate Reset Cumulative Redeemable Preferred Stock,,
EFC^C,Ellington Financial Inc. 8.625% Series C Fixed-Rate Reset Cumulative Redeemable Preferred Stock,,
EFC^D,Ellington Financial Inc. 7.00% Series D Cumulative Perpetual Redeemable Preferred Stock,,
EFOI,Energy Focus Inc. Common Stock,Consumer Discretionary,Building Products
EFR,Eaton Vance Senior Floating-Rate Fund Common Shares of Beneficial Interest,Finance,Trusts Except Educational Religious and Charitable
EFSC,Enterprise Financial Services Corporation Common Stock,Finance,Major Banks
EFSCP,Enterprise Financial Services Corporation Depositary Shares Each Representing a 1/40th Interest in a Share of 5% Fixed Rate Non-Cumulative Perpetual Preferred Stock Series A,Finance,Major Banks
EFSI,Eagle Financial Services Inc Common Stock,Finance,Major Banks
EFT,Eaton Vance Floating Rate Income Trust Common Shares of Beneficial Interest,Finance,Finance Companies
EFTY,Etoiles Capital Group Co. Ltd. Class A Ordinary Shares,Consumer Discretionary,Professional Services
EFX,Equifax Inc. Common Stock,Finance,Finance: Consumer Services
EFXT,Enerflex Ltd Common Shares,Industrials,Industrial Machinery/Components
EG,Everest Group Ltd. Common Stock,Finance,Property-Casualty Insurers
EGAN,eGain Corporation Common Stock,Technology,Computer Software: Prepackaged Software
EGBN,Eagle Bancorp Inc. Common Stock,Finance,Major Banks
EGG,Enigmatig Limited Class A Ordinary Shares,Consumer Discretionary,Professional Services
EGHA,EGH Acquisition Corp. Class A Ordinary Shares,Finance,Finance/Investors Services
EGHAR,EGH Acquisition Corp. Rights,Finance,Blank Checks
EGHT,8x8 Inc Common Stock,Technology,EDP Services
EGY,VAALCO Energy Inc.  Common Stock,Energy,Oil & Gas Production
EH,EHang Holdings Limited ADS,Industrials,Aerospace
EHAB,Enhabit Inc. Common Stock,Health Care,Medical/Nursing Services
EHC,Encompass Health Corporation Common Stock,Health Care,Hospital/Nursing Management
EHGO,Eshallgo Inc. Class A Ordinary Shares,Consumer Discretionary,Diversified Commercial Services
EHI,Western Asset Global High Income Fund Inc Common Stock,Finance,Investment Managers
EHLD,Euroholdings Ltd. Common Stock ,Consumer Discretionary,Marine Transportation
EHTH,eHealth Inc. Common Stock,Finance,Specialty Insurers
EIC,Eagle Point Income Company Inc. Common Stock,Finance,Finance/Investors Services
EICA,Eagle Point Income Company Inc. 5.00% Series A Term Preferred Stock due 2026,Finance,Finance/Investors Services
EICB,Eagle Point Income Company Inc. 7.75% Series B Term Preferred Stock Due 2028,,
EICC,Eagle Point Income Company Inc. 8.00% Series C Term Preferred Stock due 2029,,
EIG,Employers Holdings Inc Common Stock,Finance,Property-Casualty Insurers
EIIA,Eagle Point Institutional Income Fund 8.125% Series A Term Preferred Shares Due 2029,,
EIM,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,Finance,Finance/Investors Services
EIX,Edison International Common Stock,Utilities,Electric Utilities: Central
EJH,E-Home Household Service Holdings Limited Ordinary Shares,Consumer Discretionary,Other Consumer Services
EKSO,Ekso Bionics Holdings Inc. Common Stock,Industrials,Industrial Machinery/Components
EL,Estee Lauder Companies Inc. (The) Common Stock,Consumer Discretionary,Package Goods/Cosmetics
ELA,Envela Corporation Common Stock,Consumer Discretionary,Consumer Specialties
ELAB,PMGC Holdings Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ELAN,Elanco Animal Health Incorporated Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ELBM,Electra Battery Materials Corporation Common Stock,Miscellaneous,Industrial Machinery/Components
ELC,Entergy Louisiana Inc. Collateral Trust Mortgage Bonds 4.875 % Series due September 1 2066,Utilities,Electric Utilities: Central
ELDN,Eledon Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ELF,e.l.f. Beauty Inc. Common Stock,Consumer Discretionary,Package Goods/Cosmetics
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),Utilities,Electric Utilities: Central
ELMD,Electromed Inc. Common Stock,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
ELME,Elme Communities Common Stock,Real Estate,Real Estate Investment Trusts
ELP,Companhia Paranaense de Energia (COPEL) American Depositary Shares (each representing one Unit consisting one Common Share and four non-voting Class B Preferred Shares),Utilities,Electric Utilities: Central
ELPC,Companhia Paranaense de Energia (COPEL) American Depositary Shares (each representing four (4) Common Shares),Utilities,Electric Utilities: Central
ELPW,Elong Power Holding Limited Class A Ordinary Shares,,
ELS,Equity Lifestyle Properties Inc. Common Stock,Real Estate,Real Estate Investment Trusts
ELSE,Electro-Sensors Inc. Common Stock,Industrials,Industrial Machinery/Components
ELTK,Eltek Ltd. Ordinary Shares,Technology,Electrical Products
ELTX,Elicio Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ELUT,Elutia Inc. Class A Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ELV,Elevance Health Inc. Common Stock,Health Care,Medical Specialities
ELVA,Electrovaya Inc. Common Shares,,
ELVN,Enliven Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ELWS,Earlyworks Co. Ltd. American Depositary Shares,Technology,EDP Services
EM,Smart Share Global Limited American Depositary Shares,Consumer Discretionary,Other Consumer Services
EMA,Emera Incorporated Common Shares,Utilities,Electric Utilities: Central
EMBC,Embecta Corp. Common Stock,Health Care,Medical/Dental Instruments
EMD,Western Asset Emerging Markets Debt Fund Inc Common Stock,Finance,Finance/Investors Services
EME,EMCOR Group Inc. Common Stock,Industrials,Engineering & Construction
EMF,Templeton Emerging Markets Fund Common Stock,Finance,Finance/Investors Services
EML,Eastern Company (The) Common Stock,Consumer Discretionary,Industrial Machinery/Components
EMN,Eastman Chemical Company Common Stock,Industrials,Major Chemicals
EMO,ClearBridge Energy Midstream Opportunity Fund Inc. Common Stock,Finance,Investment Managers
EMP,Entergy Mississippi LLC First Mortgage Bonds 4.90% Series Due October 1 2066,Utilities,Electric Utilities: Central
EMPD,Empery Digital Inc. Common stock,,
EMPG,Empro Group Inc. Ordinary shares,,
EMR,Emerson Electric Company Common Stock,Technology,Consumer Electronics/Appliances
EMX,EMX Royalty Corporation Common Shares (Canada),Basic Materials,Metal Mining
ENB,Enbridge Inc Common Stock,Energy,Natural Gas Distribution
ENFY,Enlightify Inc. Common Stock,Industrials,Agricultural Chemicals
ENGN,enGene Holdings Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ENGNW,enGene Holdings Inc. Warrants,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ENGS,Energys Group Limited Ordinary Shares,Industrials,Engineering & Construction
ENIC,Enel Chile S.A. American Depositary Shares (Each representing 50 shares of Common Stock),Utilities,Electric Utilities: Central
ENJ,Entergy New Orleans LLC First Mortgage Bonds 5.0% Series due December 1 2052,Utilities,Power Generation
ENLT,Enlight Renewable Energy Ltd. Ordinary Shares,Utilities,Electric Utilities: Central
ENLV,Enlivex Therapeutics Ltd. Ordinary Shares,Health Care,Biotechnology: Pharmaceutical Preparations
ENO,Entergy New Orleans LLC First Mortgage Bonds 5.50% Series due April 1 2066,Utilities,Power Generation
ENOV,Enovis Corporation Common Stock,Health Care,Industrial Specialties
ENPH,Enphase Energy Inc. Common Stock,Technology,Semiconductors
ENR,Energizer Holdings Inc. Common Stock,Miscellaneous,Industrial Machinery/Components
ENS,EnerSys Common Stock,Technology,Industrial Machinery/Components
ENSC,Ensysce Biosciences Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ENSG,The Ensign Group Inc. Common Stock,Health Care,Hospital/Nursing Management
ENTA,Enanta Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ENTG,Entegris Inc. Common Stock,Industrials,Plastic Products
ENTO,Entero Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ENTX,Entera Bio Ltd. Ordinary Shares,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ENVA,Enova International Inc. Common Stock,Finance,Finance: Consumer Services
ENVB,Enveric Biosciences Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ENVX,Enovix Corporation Common Stock,Miscellaneous,Industrial Machinery/Components
ENVXW,Enovix Corporation Warrant,,
ENX,Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,Finance,Finance/Investors Services
EOD,Allspring Global Dividend Opportunity Fund Common Shares of Beneficial Interest,Finance,Investment Managers
EOG,EOG Resources Inc. Common Stock,Energy,Oil & Gas Production
EOI,Eaton Vance Enhance Equity Income Fund Eaton Vance Enhanced Equity Income Fund Shares of Beneficial Interest,Finance,Finance/Investors Services
EOLS,Evolus Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
EONR,EON Resources Inc. Class A Common Stock,Energy,Oil & Gas Production
EOS,Eaton Vance Enhance Equity Income Fund II Common Stock,Finance,Trusts Except Educational Religious and Charitable
EOSE,Eos Energy Enterprises Inc. Class A Common Stock,Miscellaneous,Industrial Machinery/Components
EOSEW,Eos Energy Enterprises Inc. Warrant,Miscellaneous,Industrial Machinery/Components
EOT,Eaton Vance Municipal Income Trust EATON VANCE NATIONAL MUNICIPAL OPPORTUNITIES TRUST,Finance,Investment Bankers/Brokers/Service
EP,Empire Petroleum Corporation Common Stock,Energy,Oil & Gas Production
EP^C,El Paso Corporation Preferred Stock,,
EPAC,Enerpac Tool Group Corp. Common Stock,Technology,Industrial Machinery/Components
EPAM,EPAM Systems Inc. Common Stock,Technology,EDP Services
EPC,Edgewell Personal Care Company Common Stock,Consumer Discretionary,Package Goods/Cosmetics
EPD,Enterprise Products Partners L.P. Common Stock,Utilities,Natural Gas Distribution
EPIX,ESSA Pharma Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
EPM,Evolution Petroleum Corporation Inc. Common Stock,Energy,Oil & Gas Production
EPOW,Sunrise New Energy Co. Ltd Class A Ordinary Shares,Real Estate,Real Estate
EPR,EPR Properties Common Stock,Real Estate,Real Estate Investment Trusts
EPR^C,EPR Properties 5.75% Series C Cumulative Convertible Preferred Shares,,
EPR^E,EPR Properties Series E Cumulative Conv Pfd Shs Ser E,,
EPR^G,EPR Properties 5.750% Series G Cumulative Redeemable Preferred Shares,,
EPRT,Essential Properties Realty Trust Inc. Common Stock,Real Estate,Real Estate Investment Trusts
EPRX,Eupraxia Pharmaceuticals Inc. Common Stock,Health Care,Pharmaceuticals and Biotechnology
EPSM,Epsium Enterprise Limited Ordinary Shares,Consumer Staples,Beverages (Production/Distribution)
EPSN,Epsilon Energy Ltd. Common Share,Energy,Oil & Gas Production
EPWK,EPWK Holdings Ltd. Class A Ordinary Shares,,
EQ,Equillium Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
EQBK,Equity Bancshares Inc. Class A Common Stock,Finance,Major Banks
EQH,Equitable Holdings Inc. Common Stock,Finance,Specialty Insurers
EQH^A,Equitable Holdings Inc. Depositary Shares,,
EQH^C,Equitable Holdings Inc. Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series C,,
EQIX,Equinix Inc. Common Stock REIT,Real Estate,Real Estate Investment Trusts
EQNR,Equinor ASA,Energy,Integrated oil Companies
EQR,Equity Residential Common Shares of Beneficial Interest,Real Estate,Real Estate Investment Trusts
EQS,Equus Total Return Inc. Common Stock,Finance,Finance/Investors Services
EQT,EQT Corporation Common Stock,Energy,Oil & Gas Production
EQV,EQV Ventures Acquisition Corp. Class A Ordinary Shares,,
EQX,Equinox Gold Corp. Common Shares,Basic Materials,Precious Metals
ERAS,Erasca Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ERC,Allspring Multi-Sector Income Fund Common Stock,Finance,Finance/Investors Services
ERH,Allspring Utilities and High Income Fund Common Shares,Finance,Finance/Investors Services
ERIC,Ericsson American Depositary Shares,Technology,Radio And Television Broadcasting And Communications Equipment
ERIE,Erie Indemnity Company Class A Common Stock,Finance,Specialty Insurers
ERII,Energy Recovery Inc. Common Stock,Technology,Industrial Machinery/Components
ERJ,Embraer S.A. Common Stock,Industrials,Aerospace
ERNA,Ernexa Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ERO,Ero Copper Corp. Common Shares,Basic Materials,Metal Mining
ES,Eversource Energy (D/B/A) Common Stock,Utilities,Electric Utilities: Central
ESAB,ESAB Corporation Common Stock,Industrials,Industrial Machinery/Components
ESCA,Escalade Incorporated Common Stock,Consumer Discretionary,Recreational Games/Products/Toys
ESE,ESCO Technologies Inc. Common Stock,Telecommunications,Telecommunications Equipment
ESEA,Euroseas Ltd. Common Stock (Marshall Islands),Consumer Discretionary,Marine Transportation
ESGL,ESGL Holdings Limited Ordinary Shares,Utilities,Environmental Services
ESGLW,ESGL Holdings Limited Warrants,Utilities,Environmental Services
ESHA,ESH Acquisition Corp. Class A Common Stock,Finance,Blank Checks
ESHAR,ESH Acquisition Corp. Right,Finance,Blank Checks
ESI,Element Solutions Inc. Common Stock,Industrials,Major Chemicals
ESLA,Estrella Immunopharma Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ESLT,Elbit Systems Ltd. Ordinary Shares,Industrials,Military/Government/Technical
ESNT,Essent Group Ltd. Common Shares,Finance,Property-Casualty Insurers
ESOA,Energy Services of America Corporation Common Stock,Industrials,Water Sewer Pipeline Comm & Power Line Construction
ESP,Espey Mfg. & Electronics Corp. Common Stock,Technology,Industrial Machinery/Components
ESPR,Esperion Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ESQ,Esquire Financial Holdings Inc. Common Stock,Finance,Commercial Banks
ESRT,Empire State Realty Trust Inc. Class A Common Stock,Real Estate,Real Estate Investment Trusts
ESS,Essex Property Trust Inc. Common Stock,Real Estate,Real Estate Investment Trusts
ESTA,Establishment Labs Holdings Inc. Common Shares,Health Care,Industrial Specialties
ESTC,Elastic N.V. Ordinary Shares,Technology,Computer Software: Prepackaged Software
ET,Energy Transfer LP Common Units ,Utilities,Natural Gas Distribution
ET^I,Energy Transfer L.P. Series I Fixed Rate Perpetual Preferred Units,,
ETB,Eaton Vance Tax-Managed Buy-Write Income Fund Eaton Vance Tax-Managed Buy-Write Income Fund Common Shares of Beneficial Interest,Finance,Investment Bankers/Brokers/Service
ETD,Ethan Allen Interiors Inc. Common Stock,Consumer Discretionary,Home Furnishings
ETG,Eaton Vance Tax-Advantaged Global Dividend Income Fund Common Shares of Beneficial Interest,Finance,Investment Managers
ETHZ,ETHZilla Corporation Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ETHZW,ETHZilla Corporation Warrant,Health Care,Biotechnology: Pharmaceutical Preparations
ETI^,Entergy Texas Inc 5.375% Series A Preferred Stock Cumulative No Par Value,,
ETJ,Eaton Vance Risk-Managed Diversified Equity Income Fund Common Shares of Beneficial Interest,Finance,Finance Companies
ETN,Eaton Corporation PLC Ordinary Shares,Technology,Industrial Machinery/Components
ETNB,89bio Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ETO,Eaton Vance Tax-Advantage Global Dividend Opp Common Stock,Finance,Investment Managers
ETON,Eton Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ETOR,eToro Group Ltd. Class A Common Shares,Finance,Investment Bankers/Brokers/Service
ETR,Entergy Corporation Common Stock,Utilities,Electric Utilities: Central
ETS,Elite Express Holding Inc. Class A Common Stock,Industrials,Trucking Freight/Courier Services
ETSY,Etsy Inc. Common Stock,Real Estate,Real Estate
ETV,Eaton Vance Corporation Eaton Vance Tax-Managed Buy-Write Opportunities Fund Common Shares of Beneficial Interest,Finance,Investment Bankers/Brokers/Service
ETW,Eaton Vance Corporation Eaton Vance Tax-Managed Global Buy-Write Opportunites Fund Common Shares of Beneficial Interest,Finance,Investment Managers
ETX           ,Eaton Vance Municipal Income 2028 Term Trust Common Shares of Beneficial Interest,Finance,Investment Managers
